1: 24.10.2014.19.2.38.227
#BESTUTMA,COM1,0,61.5,FINESTEERING,1815,493263.000,00000000,eb16,6988;SOL_COMPUTED,PSRDIFF,30,T,4467786.5117,434255.7966,666.3555,52.1000,WGS84,2.9917,2.2115,5.2169,"0",223.200,0.000,17,13,0,0,0,08,0,01*3d2123ee
25: 24.10.2014.19.2.38.905
#BESTVELA,COM1,0,61.5,FINESTEERING,1815,493263.200,00000000,827b,6988;SOL_COMPUTED,PSRDIFF,0.150,223.400,0.0211,248.233298,-0.0332,0.0*8b4d93eb
26: 24.10.2014.19.2.39.1
#BESTUTMA,COM1,0,61.5,FINESTEERING,1815,493263.200,00000000,eb16,6988;SOL_COMPUTED,PSRDIFF,30,T,4467786.5186,434255.7849,666.3575,52.1000,WGS84,2.9964,2.2149,5.2251,"0",223.400,0.000,17,13,0,0,0,08,0,01*c5899184
27: 24.10.2014.19.2.39.113
#BESTVELA,COM1,0,61.5,FINESTEERING,1815,493263.400,00000000,827b,6988;SOL_COMPUTED,PSRDIFF,0.150,223.600,0.0388,103.898575,0.0410,0.0*63c66c09
28: 24.10.2014.19.2.39.192
#BESTUTMA,COM1,0,61.5,FINESTEERING,1815,493263.400,00000000,eb16,6988;SOL_COMPUTED,PSRDIFF,30,T,4467786.5066,434255.7870,666.3482,52.1000,WGS84,3.0011,2.2187,5.2334,"0",223.600,0.000,17,13,0,0,0,08,0,01*15a24823
29: 24.10.2014.19.2.39.304
#BESTVELA,COM1,0,61.5,FINESTEERING,1815,493263.600,00000000,827b,6988;SOL_COMPUTED,PSRDIFF,0.150,223.800,0.0173,334.811225,-0.0062,0.0*23639859
30: 24.10.2014.19.2.39.400
#BESTUTMA,COM1,0,61.5,FINESTEERING,1815,493263.600,00000000,eb16,6988;SOL_COMPUTED,PSRDIFF,30,T,4467786.5047,434255.7896,666.3384,52.1000,WGS84,3.0057,2.2221,5.2415,"0",223.800,0.000,16,13,0,0,0,08,0,01*130a2f7e
31: 24.10.2014.19.2.39.511
#BESTVELA,COM1,0,60.0,FINESTEERING,1815,493263.800,00000000,827b,6988;SOL_COMPUTED,PSRDIFF,0.150,224.000,0.0107,209.561856,0.0464,0.0*0db5e691
32: 24.10.2014.19.2.39.591
#BESTUTMA,COM1,0,60.0,FINESTEERING,1815,493263.800,00000000,eb16,6988;SOL_COMPUTED,PSRDIFF,30,T,4467786.4967,434255.7857,666.3450,52.1000,WGS84,3.0103,2.2255,5.2497,"0",224.000,0.000,16,13,0,0,0,08,0,01*a62267d8
33: 24.10.2014.19.2.39.702
#BESTVELA,COM1,0,60.0,FINESTEERING,1815,493264.000,00000000,827b,6988;SOL_COMPUTED,PSRDIFF,0.150,224.200,0.0206,184.949459,-0.0117,0.0*a2982e55
34: 24.10.2014.19.2.39.798
#BESTUTMA,COM1,0,60.0,FINESTEERING,1815,493264.000,00000000,eb16,6988;SOL_COMPUTED,PSRDIFF,30,T,4467786.5057,434255.7808,666.3425,52.1000,WGS84,3.0147,2.2286,5.2579,"0",224.200,0.000,17,13,0,0,0,08,0,01*f6c4cb77
35: 24.10.2014.19.2.39.910
#BESTVELA,COM1,0,60.0,FINESTEERING,1815,493264.200,00000000,827b,6988;SOL_COMPUTED,PSRDIFF,0.150,224.400,0.0167,305.383742,-0.0448,0.0*7a602784
36: 24.10.2014.19.2.39.989
